Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Saturday, April 20, 2024",Saturday,35,14 Year of the Cabbage,35,mensis Pauli,
"Sunday, April 21, 2024",Sunday,36,14 Year of the Cabbage,36,mensis Pauli,
"Monday, April 22, 2024",Monday,37,14 Year of the Cabbage,37,mensis Pauli,
"Tuesday, April 23, 2024",Tuesday,38,14 Year of the Cabbage,38,mensis Pauli,
"Wednesday, April 24, 2024",Wednesday,39,14 Year of the Cabbage,39,mensis Pauli,
"Thursday, April 25, 2024",Thursday,40,14 Year of the Cabbage,40,mensis Pauli,
"Friday, April 26, 2024",Friday,41,14 Year of the Cabbage,41,mensis Pauli,
"Saturday, April 27, 2024",Saturday,42,14 Year of the Cabbage,42,mensis Pauli,
"Sunday, April 28, 2024",Sunday,43,14 Year of the Cabbage,43,mensis Pauli,
"Monday, April 29, 2024",Monday,44,14 Year of the Cabbage,44,mensis Pauli,
"Tuesday, April 30, 2024",Tuesday,45,14 Year of the Cabbage,45,mensis Pauli,
"Wednesday, May 01, 2024",Wednesday,46,14 Year of the Cabbage,46,mensis Pauli,
"Thursday, May 02, 2024",Thursday,47,14 Year of the Cabbage,47,mensis Pauli,
"Friday, May 03, 2024",Friday,48,14 Year of the Cabbage,48,mensis Pauli,
"Saturday, May 04, 2024",Saturday,49,14 Year of the Cabbage,49,mensis Pauli,
"Sunday, May 05, 2024",Sunday,50,14 Year of the Cabbage,50,mensis Pauli,
"Monday, May 06, 2024",Monday,51,14 Year of the Cabbage,51,mensis Pauli,
"Tuesday, May 07, 2024",Tuesday,52,14 Year of the Cabbage,52,mensis Pauli,
"Wednesday, May 08, 2024",Wednesday,53,14 Year of the Cabbage,53,mensis Pauli,
"Thursday, May 09, 2024",Thursday,54,14 Year of the Cabbage,54,mensis Pauli,
"Friday, May 10, 2024",Friday,55,14 Year of the Cabbage,55,mensis Pauli,
"Saturday, May 11, 2024",Saturday,56,14 Year of the Cabbage,56,mensis Pauli,
"Sunday, May 12, 2024",Sunday,57,14 Year of the Cabbage,57,mensis Pauli,
"Monday, May 13, 2024",Monday,58,14 Year of the Cabbage,58,mensis Pauli,
"Tuesday, May 14, 2024",Tuesday,59,14 Year of the Cabbage,59,mensis Pauli,
"Wednesday, May 15, 2024",Wednesday,60,14 Year of the Cabbage,60,mensis Pauli,
"Thursday, May 16, 2024",Thursday,61,14 Year of the Cabbage,61,mensis Pauli,
"Friday, May 17, 2024",Friday,62,14 Year of the Cabbage,62,mensis Pauli,
"Saturday, May 18, 2024",Saturday,63,14 Year of the Cabbage,63,mensis Pauli,
"Sunday, May 19, 2024",Sunday,64,14 Year of the Cabbage,64,mensis Pauli,Pentecost
"Monday, May 20, 2024",Monday,65,14 Year of the Cabbage,65,mensis Pauli,
"Tuesday, May 21, 2024",Tuesday,66,14 Year of the Cabbage,66,mensis Pauli,
"Wednesday, May 22, 2024",Wednesday,67,14 Year of the Cabbage,67,mensis Pauli,
"Thursday, May 23, 2024",Thursday,68,14 Year of the Cabbage,68,mensis Pauli,
"Friday, May 24, 2024",Friday,69,14 Year of the Cabbage,69,mensis Pauli,
"Saturday, May 25, 2024",Saturday,70,14 Year of the Cabbage,70,mensis Pauli,
"Sunday, May 26, 2024",Sunday,71,14 Year of the Cabbage,71,mensis Pauli,
"Monday, May 27, 2024",Monday,72,14 Year of the Cabbage,72,mensis Pauli,
"Tuesday, May 28, 2024",Tuesday,73,14 Year of the Cabbage,73,mensis Pauli,
"Wednesday, May 29, 2024",Wednesday,74,14 Year of the Cabbage,74,mensis Pauli,
"Thursday, May 30, 2024",Thursday,75,14 Year of the Cabbage,75,mensis Pauli,
"Friday, May 31, 2024",Friday,76,14 Year of the Cabbage,76,mensis Pauli,
"Saturday, June 01, 2024",Saturday,77,14 Year of the Cabbage,77,mensis Pauli,
"Sunday, June 02, 2024",Sunday,78,14 Year of the Cabbage,78,mensis Pauli,
"Monday, June 03, 2024",Monday,79,14 Year of the Cabbage,79,mensis Pauli,
"Tuesday, June 04, 2024",Tuesday,80,14 Year of the Cabbage,80,mensis Pauli,
"Wednesday, June 05, 2024",Wednesday,81,14 Year of the Cabbage,81,mensis Pauli,
"Thursday, June 06, 2024",Thursday,82,14 Year of the Cabbage,1,mensis Iacobi,Moving Festival
"Friday, June 07, 2024",Friday,83,14 Year of the Cabbage,2,mensis Iacobi,
"Saturday, June 08, 2024",Saturday,84,14 Year of the Cabbage,3,mensis Iacobi,
"Sunday, June 09, 2024",Sunday,85,14 Year of the Cabbage,4,mensis Iacobi,
"Monday, June 10, 2024",Monday,86,14 Year of the Cabbage,5,mensis Iacobi,
"Tuesday, June 11, 2024",Tuesday,87,14 Year of the Cabbage,6,mensis Iacobi,
"Wednesday, June 12, 2024",Wednesday,88,14 Year of the Cabbage,7,mensis Iacobi,
"Thursday, June 13, 2024",Thursday,89,14 Year of the Cabbage,8,mensis Iacobi,
"Friday, June 14, 2024",Friday,90,14 Year of the Cabbage,9,mensis Iacobi,
"Saturday, June 15, 2024",Saturday,91,14 Year of the Cabbage,10,mensis Iacobi,
"Sunday, June 16, 2024",Sunday,92,14 Year of the Cabbage,11,mensis Iacobi,
"Monday, June 17, 2024",Monday,93,14 Year of the Cabbage,12,mensis Iacobi,
"Tuesday, June 18, 2024",Tuesday,94,14 Year of the Cabbage,13,mensis Iacobi,
"Wednesday, June 19, 2024",Wednesday,95,14 Year of the Cabbage,14,mensis Iacobi,
"Thursday, June 20, 2024",Thursday,96,14 Year of the Cabbage,15,mensis Iacobi,
"Friday, June 21, 2024",Friday,97,14 Year of the Cabbage,16,mensis Iacobi,
"Saturday, June 22, 2024",Saturday,98,14 Year of the Cabbage,17,mensis Iacobi,
"Sunday, June 23, 2024",Sunday,99,14 Year of the Cabbage,18,mensis Iacobi,
"Monday, June 24, 2024",Monday,100,14 Year of the Cabbage,19,mensis Iacobi,
"Tuesday, June 25, 2024",Tuesday,101,14 Year of the Cabbage,20,mensis Iacobi,
"Wednesday, June 26, 2024",Wednesday,102,14 Year of the Cabbage,21,mensis Iacobi,
"Thursday, June 27, 2024",Thursday,103,14 Year of the Cabbage,22,mensis Iacobi,
"Friday, June 28, 2024",Friday,104,14 Year of the Cabbage,23,mensis Iacobi,
"Saturday, June 29, 2024",Saturday,105,14 Year of the Cabbage,24,mensis Iacobi,
"Sunday, June 30, 2024",Sunday,106,14 Year of the Cabbage,25,mensis Iacobi,
"Monday, July 01, 2024",Monday,107,14 Year of the Cabbage,26,mensis Iacobi,
"Tuesday, July 02, 2024",Tuesday,108,14 Year of the Cabbage,27,mensis Iacobi,
"Wednesday, July 03, 2024",Wednesday,109,14 Year of the Cabbage,28,mensis Iacobi,
"Thursday, July 04, 2024",Thursday,110,14 Year of the Cabbage,29,mensis Iacobi,
"Friday, July 05, 2024",Friday,111,14 Year of the Cabbage,30,mensis Iacobi,
"Saturday, July 06, 2024",Saturday,112,14 Year of the Cabbage,31,mensis Iacobi,
"Sunday, July 07, 2024",Sunday,113,14 Year of the Cabbage,32,mensis Iacobi,
"Monday, July 08, 2024",Monday,114,14 Year of the Cabbage,33,mensis Iacobi,
"Tuesday, July 09, 2024",Tuesday,115,14 Year of the Cabbage,34,mensis Iacobi,
"Wednesday, July 10, 2024",Wednesday,116,14 Year of the Cabbage,35,mensis Iacobi,
"Thursday, July 11, 2024",Thursday,117,14 Year of the Cabbage,36,mensis Iacobi,
"Friday, July 12, 2024",Friday,118,14 Year of the Cabbage,37,mensis Iacobi,
"Saturday, July 13, 2024",Saturday,119,14 Year of the Cabbage,38,mensis Iacobi,
"Sunday, July 14, 2024",Sunday,120,14 Year of the Cabbage,39,mensis Iacobi,
"Monday, July 15, 2024",Monday,121,14 Year of the Cabbage,40,mensis Iacobi,
"Tuesday, July 16, 2024",Tuesday,122,14 Year of the Cabbage,41,mensis Iacobi,
"Wednesday, July 17, 2024",Wednesday,123,14 Year of the Cabbage,42,mensis Iacobi,
"Thursday, July 18, 2024",Thursday,124,14 Year of the Cabbage,43,mensis Iacobi,
"Friday, July 19, 2024",Friday,125,14 Year of the Cabbage,1,mensis Benedicti,Festival of Le Capitaine
"Saturday, July 20, 2024",Saturday,126,14 Year of the Cabbage,2,mensis Benedicti,
"Sunday, July 21, 2024",Sunday,127,14 Year of the Cabbage,3,mensis Benedicti,
"Monday, July 22, 2024",Monday,128,14 Year of the Cabbage,4,mensis Benedicti,
"Tuesday, July 23, 2024",Tuesday,129,14 Year of the Cabbage,5,mensis Benedicti,
"Wednesday, July 24, 2024",Wednesday,130,14 Year of the Cabbage,6,mensis Benedicti,
"Thursday, July 25, 2024",Thursday,131,14 Year of the Cabbage,7,mensis Benedicti,
"Friday, July 26, 2024",Friday,132,14 Year of the Cabbage,8,mensis Benedicti,
"Saturday, July 27, 2024",Saturday,133,14 Year of the Cabbage,9,mensis Benedicti,
"Sunday, July 28, 2024",Sunday,134,14 Year of the Cabbage,10,mensis Benedicti,
"Monday, July 29, 2024",Monday,135,14 Year of the Cabbage,11,mensis Benedicti,
"Tuesday, July 30, 2024",Tuesday,136,14 Year of the Cabbage,12,mensis Benedicti,
"Wednesday, July 31, 2024",Wednesday,137,14 Year of the Cabbage,13,mensis Benedicti,
"Thursday, August 01, 2024",Thursday,138,14 Year of the Cabbage,14,mensis Benedicti,
"Friday, August 02, 2024",Friday,139,14 Year of the Cabbage,15,mensis Benedicti,
"Saturday, August 03, 2024",Saturday,140,14 Year of the Cabbage,16,mensis Benedicti,
"Sunday, August 04, 2024",Sunday,141,14 Year of the Cabbage,17,mensis Benedicti,
"Monday, August 05, 2024",Monday,142,14 Year of the Cabbage,18,mensis Benedicti,
"Tuesday, August 06, 2024",Tuesday,143,14 Year of the Cabbage,19,mensis Benedicti,
"Wednesday, August 07, 2024",Wednesday,144,14 Year of the Cabbage,20,mensis Benedicti,
"Thursday, August 08, 2024",Thursday,145,14 Year of the Cabbage,21,mensis Benedicti,
"Friday, August 09, 2024",Friday,146,14 Year of the Cabbage,22,mensis Benedicti,
"Saturday, August 10, 2024",Saturday,147,14 Year of the Cabbage,23,mensis Benedicti,
"Sunday, August 11, 2024",Sunday,148,14 Year of the Cabbage,24,mensis Benedicti,
"Monday, August 12, 2024",Monday,149,14 Year of the Cabbage,25,mensis Benedicti,
"Tuesday, August 13, 2024",Tuesday,150,14 Year of the Cabbage,26,mensis Benedicti,
"Wednesday, August 14, 2024",Wednesday,151,14 Year of the Cabbage,27,mensis Benedicti,
"Thursday, August 15, 2024",Thursday,152,14 Year of the Cabbage,28,mensis Benedicti,
"Friday, August 16, 2024",Friday,153,14 Year of the Cabbage,29,mensis Benedicti,
"Saturday, August 17, 2024",Saturday,154,14 Year of the Cabbage,30,mensis Benedicti,
"Sunday, August 18, 2024",Sunday,155,14 Year of the Cabbage,31,mensis Benedicti,
"Monday, August 19, 2024",Monday,156,14 Year of the Cabbage,32,mensis Benedicti,
"Tuesday, August 20, 2024",Tuesday,157,14 Year of the Cabbage,33,mensis Benedicti,
"Wednesday, August 21, 2024",Wednesday,158,14 Year of the Cabbage,34,mensis Benedicti,
"Thursday, August 22, 2024",Thursday,159,14 Year of the Cabbage,35,mensis Benedicti,
"Friday, August 23, 2024",Friday,160,14 Year of the Cabbage,36,mensis Benedicti,
"Saturday, August 24, 2024",Saturday,161,14 Year of the Cabbage,37,mensis Benedicti,
"Sunday, August 25, 2024",Sunday,162,14 Year of the Cabbage,38,mensis Benedicti,
"Monday, August 26, 2024",Monday,163,14 Year of the Cabbage,39,mensis Benedicti,
"Tuesday, August 27, 2024",Tuesday,164,14 Year of the Cabbage,40,mensis Benedicti,
"Wednesday, August 28, 2024",Wednesday,165,14 Year of the Cabbage,41,mensis Benedicti,
"Thursday, August 29, 2024",Thursday,166,14 Year of the Cabbage,42,mensis Benedicti,
"Friday, August 30, 2024",Friday,167,14 Year of the Cabbage,43,mensis Benedicti,
"Saturday, August 31, 2024",Saturday,168,14 Year of the Cabbage,1,mensis Petri,Festival of Tilburian Vocations
"Sunday, September 01, 2024",Sunday,169,14 Year of the Cabbage,2,mensis Petri,
"Monday, September 02, 2024",Monday,170,14 Year of the Cabbage,3,mensis Petri,
"Tuesday, September 03, 2024",Tuesday,171,14 Year of the Cabbage,4,mensis Petri,
"Wednesday, September 04, 2024",Wednesday,172,14 Year of the Cabbage,5,mensis Petri,
"Thursday, September 05, 2024",Thursday,173,14 Year of the Cabbage,6,mensis Petri,
"Friday, September 06, 2024",Friday,174,14 Year of the Cabbage,7,mensis Petri,
"Saturday, September 07, 2024",Saturday,175,14 Year of the Cabbage,8,mensis Petri,
"Sunday, September 08, 2024",Sunday,176,14 Year of the Cabbage,9,mensis Petri,
"Monday, September 09, 2024",Monday,177,14 Year of the Cabbage,10,mensis Petri,
"Tuesday, September 10, 2024",Tuesday,178,14 Year of the Cabbage,11,mensis Petri,
"Wednesday, September 11, 2024",Wednesday,179,14 Year of the Cabbage,12,mensis Petri,
"Thursday, September 12, 2024",Thursday,180,14 Year of the Cabbage,13,mensis Petri,
"Friday, September 13, 2024",Friday,181,14 Year of the Cabbage,14,mensis Petri,
"Saturday, September 14, 2024",Saturday,182,14 Year of the Cabbage,15,mensis Petri,
"Sunday, September 15, 2024",Sunday,183,14 Year of the Cabbage,16,mensis Petri,
"Monday, September 16, 2024",Monday,184,14 Year of the Cabbage,17,mensis Petri,
"Tuesday, September 17, 2024",Tuesday,185,14 Year of the Cabbage,18,mensis Petri,
"Wednesday, September 18, 2024",Wednesday,186,14 Year of the Cabbage,19,mensis Petri,
"Thursday, September 19, 2024",Thursday,187,14 Year of the Cabbage,20,mensis Petri,Feast of St. Januarius: Patron of Tilbury
"Friday, September 20, 2024",Friday,188,14 Year of the Cabbage,21,mensis Petri,Octave of St. Januarius
"Saturday, September 21, 2024",Saturday,189,14 Year of the Cabbage,22,mensis Petri,Octave of St. Januarius
"Sunday, September 22, 2024",Sunday,190,14 Year of the Cabbage,23,mensis Petri,Octave of St. Januarius
"Monday, September 23, 2024",Monday,191,14 Year of the Cabbage,24,mensis Petri,Octave of St. Januarius
"Tuesday, September 24, 2024",Tuesday,192,14 Year of the Cabbage,25,mensis Petri,Octave of St. Januarius
"Wednesday, September 25, 2024",Wednesday,193,14 Year of the Cabbage,26,mensis Petri,Octave of St. Januarius
"Thursday, September 26, 2024",Thursday,194,14 Year of the Cabbage,27,mensis Petri,Octave of St. Januarius
"Friday, September 27, 2024",Friday,195,14 Year of the Cabbage,28,mensis Petri,
"Saturday, September 28, 2024",Saturday,196,14 Year of the Cabbage,29,mensis Petri,
"Sunday, September 29, 2024",Sunday,197,14 Year of the Cabbage,30,mensis Petri,
"Monday, September 30, 2024",Monday,198,14 Year of the Cabbage,31,mensis Petri,
"Tuesday, October 01, 2024",Tuesday,199,14 Year of the Cabbage,32,mensis Petri,
"Wednesday, October 02, 2024",Wednesday,200,14 Year of the Cabbage,33,mensis Petri,
"Thursday, October 03, 2024",Thursday,201,14 Year of the Cabbage,34,mensis Petri,
"Friday, October 04, 2024",Friday,202,14 Year of the Cabbage,35,mensis Petri,
"Saturday, October 05, 2024",Saturday,203,14 Year of the Cabbage,36,mensis Petri,
"Sunday, October 06, 2024",Sunday,204,14 Year of the Cabbage,37,mensis Petri,
"Monday, October 07, 2024",Monday,205,14 Year of the Cabbage,38,mensis Petri,
"Tuesday, October 08, 2024",Tuesday,206,14 Year of the Cabbage,39,mensis Petri,
"Wednesday, October 09, 2024",Wednesday,207,14 Year of the Cabbage,40,mensis Petri,
"Thursday, October 10, 2024",Thursday,208,14 Year of the Cabbage,41,mensis Petri,
"Friday, October 11, 2024",Friday,209,14 Year of the Cabbage,42,mensis Petri,
"Saturday, October 12, 2024",Saturday,210,14 Year of the Cabbage,43,mensis Petri,
"Sunday, October 13, 2024",Sunday,211,14 Year of the Cabbage,44,mensis Petri,
"Monday, October 14, 2024",Monday,212,14 Year of the Cabbage,45,mensis Petri,
"Tuesday, October 15, 2024",Tuesday,213,14 Year of the Cabbage,46,mensis Petri,
"Wednesday, October 16, 2024",Wednesday,214,14 Year of the Cabbage,47,mensis Petri,
"Thursday, October 17, 2024",Thursday,215,14 Year of the Cabbage,48,mensis Petri,
"Friday, October 18, 2024",Friday,216,14 Year of the Cabbage,49,mensis Petri,
"Saturday, October 19, 2024",Saturday,217,14 Year of the Cabbage,50,mensis Petri,
"Sunday, October 20, 2024",Sunday,218,14 Year of the Cabbage,51,mensis Petri,
"Monday, October 21, 2024",Monday,219,14 Year of the Cabbage,52,mensis Petri,
"Tuesday, October 22, 2024",Tuesday,220,14 Year of the Cabbage,53,mensis Petri,
"Wednesday, October 23, 2024",Wednesday,221,14 Year of the Cabbage,54,mensis Petri,
"Thursday, October 24, 2024",Thursday,222,14 Year of the Cabbage,55,mensis Petri,
"Friday, October 25, 2024",Friday,223,14 Year of the Cabbage,56,mensis Petri,
"Saturday, October 26, 2024",Saturday,224,14 Year of the Cabbage,57,mensis Petri,
"Sunday, October 27, 2024",Sunday,225,14 Year of the Cabbage,58,mensis Petri,
"Monday, October 28, 2024",Monday,226,14 Year of the Cabbage,59,mensis Petri,
"Tuesday, October 29, 2024",Tuesday,227,14 Year of the Cabbage,60,mensis Petri,
"Wednesday, October 30, 2024",Wednesday,228,14 Year of the Cabbage,61,mensis Petri,
"Thursday, October 31, 2024",Thursday,229,14 Year of the Cabbage,62,mensis Petri,
"Friday, November 01, 2024",Friday,230,14 Year of the Cabbage,63,mensis Petri,
"Saturday, November 02, 2024",Saturday,231,14 Year of the Cabbage,64,mensis Petri,
"Sunday, November 03, 2024",Sunday,232,14 Year of the Cabbage,65,mensis Petri,
"Monday, November 04, 2024",Monday,233,14 Year of the Cabbage,66,mensis Petri,
"Tuesday, November 05, 2024",Tuesday,234,14 Year of the Cabbage,67,mensis Petri,
"Wednesday, November 06, 2024",Wednesday,235,14 Year of the Cabbage,68,mensis Petri,
"Thursday, November 07, 2024",Thursday,236,14 Year of the Cabbage,69,mensis Petri,
"Friday, November 08, 2024",Friday,237,14 Year of the Cabbage,70,mensis Petri,
"Saturday, November 09, 2024",Saturday,238,14 Year of the Cabbage,71,mensis Petri,
"Sunday, November 10, 2024",Sunday,239,14 Year of the Cabbage,72,mensis Petri,
"Monday, November 11, 2024",Monday,240,14 Year of the Cabbage,73,mensis Petri,
"Tuesday, November 12, 2024",Tuesday,241,14 Year of the Cabbage,74,mensis Petri,
"Wednesday, November 13, 2024",Wednesday,242,14 Year of the Cabbage,75,mensis Petri,
"Thursday, November 14, 2024",Thursday,243,14 Year of the Cabbage,76,mensis Petri,
"Friday, November 15, 2024",Friday,244,14 Year of the Cabbage,77,mensis Petri,
"Saturday, November 16, 2024",Saturday,245,14 Year of the Cabbage,78,mensis Petri,
"Sunday, November 17, 2024",Sunday,246,14 Year of the Cabbage,79,mensis Petri,
"Monday, November 18, 2024",Monday,247,14 Year of the Cabbage,80,mensis Petri,
"Tuesday, November 19, 2024",Tuesday,248,14 Year of the Cabbage,81,mensis Petri,
"Wednesday, November 20, 2024",Wednesday,249,14 Year of the Cabbage,82,mensis Petri,
"Thursday, November 21, 2024",Thursday,250,14 Year of the Cabbage,83,mensis Petri,
"Friday, November 22, 2024",Friday,251,14 Year of the Cabbage,84,mensis Petri,
"Saturday, November 23, 2024",Saturday,252,14 Year of the Cabbage,85,mensis Petri,
"Sunday, November 24, 2024",Sunday,253,14 Year of the Cabbage,86,mensis Petri,
"Monday, November 25, 2024",Monday,254,14 Year of the Cabbage,87,mensis Petri,
"Tuesday, November 26, 2024",Tuesday,255,14 Year of the Cabbage,88,mensis Petri,
"Wednesday, November 27, 2024",Wednesday,256,14 Year of the Cabbage,89,mensis Petri,
"Thursday, November 28, 2024",Thursday,257,14 Year of the Cabbage,90,mensis Petri,
"Friday, November 29, 2024",Friday,258,14 Year of the Cabbage,91,mensis Petri,
"Saturday, November 30, 2024",Saturday,259,14 Year of the Cabbage,92,mensis Petri,
"Sunday, December 01, 2024",Sunday,260,14 Year of the Cabbage,93,mensis Petri,
"Monday, December 02, 2024",Monday,261,14 Year of the Cabbage,94,mensis Petri,
"Tuesday, December 03, 2024",Tuesday,262,14 Year of the Cabbage,95,mensis Petri,
"Wednesday, December 04, 2024",Wednesday,263,14 Year of the Cabbage,96,mensis Petri,
"Thursday, December 05, 2024",Thursday,264,14 Year of the Cabbage,97,mensis Petri,
"Friday, December 06, 2024",Friday,265,14 Year of the Cabbage,98,mensis Petri,
"Saturday, December 07, 2024",Saturday,266,14 Year of the Cabbage,99,mensis Petri,
"Sunday, December 08, 2024",Sunday,267,14 Year of the Cabbage,100,mensis Petri,
"Monday, December 09, 2024",Monday,268,14 Year of the Cabbage,101,mensis Petri,
"Tuesday, December 10, 2024",Tuesday,269,14 Year of the Cabbage,102,mensis Petri,
"Wednesday, December 11, 2024",Wednesday,270,14 Year of the Cabbage,103,mensis Petri,
"Thursday, December 12, 2024",Thursday,271,14 Year of the Cabbage,104,mensis Petri,
"Friday, December 13, 2024",Friday,272,14 Year of the Cabbage,105,mensis Petri,
"Saturday, December 14, 2024",Saturday,273,14 Year of the Cabbage,106,mensis Petri,
"Sunday, December 15, 2024",Sunday,274,14 Year of the Cabbage,107,mensis Petri,
"Monday, December 16, 2024",Monday,275,14 Year of the Cabbage,108,mensis Petri,
"Tuesday, December 17, 2024",Tuesday,276,14 Year of the Cabbage,109,mensis Petri,
"Wednesday, December 18, 2024",Wednesday,277,14 Year of the Cabbage,110,mensis Petri,
"Thursday, December 19, 2024",Thursday,278,14 Year of the Cabbage,111,mensis Petri,
"Friday, December 20, 2024",Friday,279,14 Year of the Cabbage,112,mensis Petri,
"Saturday, December 21, 2024",Saturday,280,14 Year of the Cabbage,113,mensis Petri,
"Sunday, December 22, 2024",Sunday,281,14 Year of the Cabbage,114,mensis Petri,
"Monday, December 23, 2024",Monday,282,14 Year of the Cabbage,115,mensis Petri,
"Tuesday, December 24, 2024",Tuesday,283,14 Year of the Cabbage,116,mensis Petri,
"Wednesday, December 25, 2024",Wednesday,284,14 Year of the Cabbage,117,mensis Petri,Solemnity of the Nativity
"Thursday, December 26, 2024",Thursday,285,14 Year of the Cabbage,118,mensis Petri,Christmas Octave
"Friday, December 27, 2024",Friday,286,14 Year of the Cabbage,119,mensis Petri,Christmas Octave
"Saturday, December 28, 2024",Saturday,287,14 Year of the Cabbage,120,mensis Petri,Christmas Octave
"Sunday, December 29, 2024",Sunday,288,14 Year of the Cabbage,121,mensis Petri,Christmas Octave
"Monday, December 30, 2024",Monday,289,14 Year of the Cabbage,122,mensis Petri,Christmas Octave
"Tuesday, December 31, 2024",Tuesday,290,14 Year of the Cabbage,123,mensis Petri,Christmas Octave
"Wednesday, January 01, 2025",Wednesday,291,14 Year of the Cabbage,124,mensis Petri,Christmas Octave
"Thursday, January 02, 2025",Thursday,292,14 Year of the Cabbage,125,mensis Petri,
"Friday, January 03, 2025",Friday,293,14 Year of the Cabbage,126,mensis Petri,
"Saturday, January 04, 2025",Saturday,294,14 Year of the Cabbage,127,mensis Petri,
"Sunday, January 05, 2025",Sunday,295,14 Year of the Cabbage,128,mensis Petri,
"Monday, January 06, 2025",Monday,296,14 Year of the Cabbage,1,mensis vagandi (Roving Month),Cleaning Day
"Tuesday, January 07, 2025",Tuesday,297,14 Year of the Cabbage,2,mensis vagandi (Roving Month),
"Wednesday, January 08, 2025",Wednesday,298,14 Year of the Cabbage,3,mensis vagandi (Roving Month),
"Thursday, January 09, 2025",Thursday,299,14 Year of the Cabbage,4,mensis vagandi (Roving Month),
"Friday, January 10, 2025",Friday,300,14 Year of the Cabbage,5,mensis vagandi (Roving Month),
"Saturday, January 11, 2025",Saturday,301,14 Year of the Cabbage,6,mensis vagandi (Roving Month),
"Sunday, January 12, 2025",Sunday,302,14 Year of the Cabbage,7,mensis vagandi (Roving Month),
"Monday, January 13, 2025",Monday,303,14 Year of the Cabbage,8,mensis vagandi (Roving Month),
"Tuesday, January 14, 2025",Tuesday,304,14 Year of the Cabbage,9,mensis vagandi (Roving Month),
"Wednesday, January 15, 2025",Wednesday,305,14 Year of the Cabbage,10,mensis vagandi (Roving Month),
"Thursday, January 16, 2025",Thursday,306,14 Year of the Cabbage,11,mensis vagandi (Roving Month),
"Friday, January 17, 2025",Friday,307,14 Year of the Cabbage,12,mensis vagandi (Roving Month),
"Saturday, January 18, 2025",Saturday,308,14 Year of the Cabbage,13,mensis vagandi (Roving Month),
