Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Wednesday, April 23, 2025",Wednesday,23,15 Year of the Cabbage,23,mensis Pauli,Easter Octave
"Thursday, April 24, 2025",Thursday,24,15 Year of the Cabbage,24,mensis Pauli,Easter Octave
"Friday, April 25, 2025",Friday,25,15 Year of the Cabbage,25,mensis Pauli,Easter Octave
"Saturday, April 26, 2025",Saturday,26,15 Year of the Cabbage,26,mensis Pauli,Easter Octave
"Sunday, April 27, 2025",Sunday,27,15 Year of the Cabbage,27,mensis Pauli,Easter Octave
"Monday, April 28, 2025",Monday,28,15 Year of the Cabbage,28,mensis Pauli,
"Tuesday, April 29, 2025",Tuesday,29,15 Year of the Cabbage,29,mensis Pauli,
"Wednesday, April 30, 2025",Wednesday,30,15 Year of the Cabbage,30,mensis Pauli,
"Thursday, May 01, 2025",Thursday,31,15 Year of the Cabbage,31,mensis Pauli,
"Friday, May 02, 2025",Friday,32,15 Year of the Cabbage,32,mensis Pauli,
"Saturday, May 03, 2025",Saturday,33,15 Year of the Cabbage,33,mensis Pauli,
"Sunday, May 04, 2025",Sunday,34,15 Year of the Cabbage,34,mensis Pauli,
"Monday, May 05, 2025",Monday,35,15 Year of the Cabbage,35,mensis Pauli,
"Tuesday, May 06, 2025",Tuesday,36,15 Year of the Cabbage,36,mensis Pauli,
"Wednesday, May 07, 2025",Wednesday,37,15 Year of the Cabbage,37,mensis Pauli,
"Thursday, May 08, 2025",Thursday,38,15 Year of the Cabbage,38,mensis Pauli,
"Friday, May 09, 2025",Friday,39,15 Year of the Cabbage,39,mensis Pauli,
"Saturday, May 10, 2025",Saturday,40,15 Year of the Cabbage,40,mensis Pauli,
"Sunday, May 11, 2025",Sunday,41,15 Year of the Cabbage,41,mensis Pauli,
"Monday, May 12, 2025",Monday,42,15 Year of the Cabbage,42,mensis Pauli,
"Tuesday, May 13, 2025",Tuesday,43,15 Year of the Cabbage,43,mensis Pauli,
"Wednesday, May 14, 2025",Wednesday,44,15 Year of the Cabbage,44,mensis Pauli,
"Thursday, May 15, 2025",Thursday,45,15 Year of the Cabbage,45,mensis Pauli,
"Friday, May 16, 2025",Friday,46,15 Year of the Cabbage,46,mensis Pauli,
"Saturday, May 17, 2025",Saturday,47,15 Year of the Cabbage,47,mensis Pauli,
"Sunday, May 18, 2025",Sunday,48,15 Year of the Cabbage,48,mensis Pauli,
"Monday, May 19, 2025",Monday,49,15 Year of the Cabbage,49,mensis Pauli,
"Tuesday, May 20, 2025",Tuesday,50,15 Year of the Cabbage,50,mensis Pauli,
"Wednesday, May 21, 2025",Wednesday,51,15 Year of the Cabbage,51,mensis Pauli,
"Thursday, May 22, 2025",Thursday,52,15 Year of the Cabbage,52,mensis Pauli,
"Friday, May 23, 2025",Friday,53,15 Year of the Cabbage,53,mensis Pauli,
"Saturday, May 24, 2025",Saturday,54,15 Year of the Cabbage,54,mensis Pauli,
"Sunday, May 25, 2025",Sunday,55,15 Year of the Cabbage,55,mensis Pauli,
"Monday, May 26, 2025",Monday,56,15 Year of the Cabbage,56,mensis Pauli,
"Tuesday, May 27, 2025",Tuesday,57,15 Year of the Cabbage,57,mensis Pauli,
"Wednesday, May 28, 2025",Wednesday,58,15 Year of the Cabbage,58,mensis Pauli,
"Thursday, May 29, 2025",Thursday,59,15 Year of the Cabbage,59,mensis Pauli,
"Friday, May 30, 2025",Friday,60,15 Year of the Cabbage,60,mensis Pauli,
"Saturday, May 31, 2025",Saturday,61,15 Year of the Cabbage,61,mensis Pauli,
"Sunday, June 01, 2025",Sunday,62,15 Year of the Cabbage,62,mensis Pauli,
"Monday, June 02, 2025",Monday,63,15 Year of the Cabbage,63,mensis Pauli,
"Tuesday, June 03, 2025",Tuesday,64,15 Year of the Cabbage,64,mensis Pauli,
"Wednesday, June 04, 2025",Wednesday,65,15 Year of the Cabbage,65,mensis Pauli,
"Thursday, June 05, 2025",Thursday,66,15 Year of the Cabbage,66,mensis Pauli,
"Friday, June 06, 2025",Friday,67,15 Year of the Cabbage,67,mensis Pauli,
"Saturday, June 07, 2025",Saturday,68,15 Year of the Cabbage,68,mensis Pauli,
"Sunday, June 08, 2025",Sunday,69,15 Year of the Cabbage,69,mensis Pauli,Pentecost
"Monday, June 09, 2025",Monday,70,15 Year of the Cabbage,70,mensis Pauli,
"Tuesday, June 10, 2025",Tuesday,71,15 Year of the Cabbage,71,mensis Pauli,
"Wednesday, June 11, 2025",Wednesday,72,15 Year of the Cabbage,72,mensis Pauli,
"Thursday, June 12, 2025",Thursday,73,15 Year of the Cabbage,73,mensis Pauli,
"Friday, June 13, 2025",Friday,74,15 Year of the Cabbage,74,mensis Pauli,
"Saturday, June 14, 2025",Saturday,75,15 Year of the Cabbage,75,mensis Pauli,
"Sunday, June 15, 2025",Sunday,76,15 Year of the Cabbage,76,mensis Pauli,
"Monday, June 16, 2025",Monday,77,15 Year of the Cabbage,77,mensis Pauli,
"Tuesday, June 17, 2025",Tuesday,78,15 Year of the Cabbage,78,mensis Pauli,
"Wednesday, June 18, 2025",Wednesday,79,15 Year of the Cabbage,79,mensis Pauli,
"Thursday, June 19, 2025",Thursday,80,15 Year of the Cabbage,80,mensis Pauli,
"Friday, June 20, 2025",Friday,81,15 Year of the Cabbage,81,mensis Pauli,
"Saturday, June 21, 2025",Saturday,82,15 Year of the Cabbage,1,mensis Iacobi,Moving Festival
"Sunday, June 22, 2025",Sunday,83,15 Year of the Cabbage,2,mensis Iacobi,
"Monday, June 23, 2025",Monday,84,15 Year of the Cabbage,3,mensis Iacobi,
"Tuesday, June 24, 2025",Tuesday,85,15 Year of the Cabbage,4,mensis Iacobi,
"Wednesday, June 25, 2025",Wednesday,86,15 Year of the Cabbage,5,mensis Iacobi,
"Thursday, June 26, 2025",Thursday,87,15 Year of the Cabbage,6,mensis Iacobi,
"Friday, June 27, 2025",Friday,88,15 Year of the Cabbage,7,mensis Iacobi,
"Saturday, June 28, 2025",Saturday,89,15 Year of the Cabbage,8,mensis Iacobi,
"Sunday, June 29, 2025",Sunday,90,15 Year of the Cabbage,9,mensis Iacobi,
"Monday, June 30, 2025",Monday,91,15 Year of the Cabbage,10,mensis Iacobi,
"Tuesday, July 01, 2025",Tuesday,92,15 Year of the Cabbage,11,mensis Iacobi,
"Wednesday, July 02, 2025",Wednesday,93,15 Year of the Cabbage,12,mensis Iacobi,
"Thursday, July 03, 2025",Thursday,94,15 Year of the Cabbage,13,mensis Iacobi,
"Friday, July 04, 2025",Friday,95,15 Year of the Cabbage,14,mensis Iacobi,
"Saturday, July 05, 2025",Saturday,96,15 Year of the Cabbage,15,mensis Iacobi,
"Sunday, July 06, 2025",Sunday,97,15 Year of the Cabbage,16,mensis Iacobi,
"Monday, July 07, 2025",Monday,98,15 Year of the Cabbage,17,mensis Iacobi,
"Tuesday, July 08, 2025",Tuesday,99,15 Year of the Cabbage,18,mensis Iacobi,
"Wednesday, July 09, 2025",Wednesday,100,15 Year of the Cabbage,19,mensis Iacobi,
"Thursday, July 10, 2025",Thursday,101,15 Year of the Cabbage,20,mensis Iacobi,
"Friday, July 11, 2025",Friday,102,15 Year of the Cabbage,21,mensis Iacobi,
"Saturday, July 12, 2025",Saturday,103,15 Year of the Cabbage,22,mensis Iacobi,
"Sunday, July 13, 2025",Sunday,104,15 Year of the Cabbage,23,mensis Iacobi,
"Monday, July 14, 2025",Monday,105,15 Year of the Cabbage,24,mensis Iacobi,
"Tuesday, July 15, 2025",Tuesday,106,15 Year of the Cabbage,25,mensis Iacobi,
"Wednesday, July 16, 2025",Wednesday,107,15 Year of the Cabbage,26,mensis Iacobi,
"Thursday, July 17, 2025",Thursday,108,15 Year of the Cabbage,27,mensis Iacobi,
"Friday, July 18, 2025",Friday,109,15 Year of the Cabbage,28,mensis Iacobi,
"Saturday, July 19, 2025",Saturday,110,15 Year of the Cabbage,29,mensis Iacobi,
"Sunday, July 20, 2025",Sunday,111,15 Year of the Cabbage,30,mensis Iacobi,
"Monday, July 21, 2025",Monday,112,15 Year of the Cabbage,31,mensis Iacobi,
"Tuesday, July 22, 2025",Tuesday,113,15 Year of the Cabbage,32,mensis Iacobi,
"Wednesday, July 23, 2025",Wednesday,114,15 Year of the Cabbage,33,mensis Iacobi,
"Thursday, July 24, 2025",Thursday,115,15 Year of the Cabbage,34,mensis Iacobi,
"Friday, July 25, 2025",Friday,116,15 Year of the Cabbage,35,mensis Iacobi,
"Saturday, July 26, 2025",Saturday,117,15 Year of the Cabbage,36,mensis Iacobi,
"Sunday, July 27, 2025",Sunday,118,15 Year of the Cabbage,37,mensis Iacobi,
"Monday, July 28, 2025",Monday,119,15 Year of the Cabbage,38,mensis Iacobi,
"Tuesday, July 29, 2025",Tuesday,120,15 Year of the Cabbage,39,mensis Iacobi,
"Wednesday, July 30, 2025",Wednesday,121,15 Year of the Cabbage,40,mensis Iacobi,
"Thursday, July 31, 2025",Thursday,122,15 Year of the Cabbage,41,mensis Iacobi,
"Friday, August 01, 2025",Friday,123,15 Year of the Cabbage,42,mensis Iacobi,
"Saturday, August 02, 2025",Saturday,124,15 Year of the Cabbage,43,mensis Iacobi,
"Sunday, August 03, 2025",Sunday,125,15 Year of the Cabbage,1,mensis Benedicti,Festival of Le Capitaine
"Monday, August 04, 2025",Monday,126,15 Year of the Cabbage,2,mensis Benedicti,
"Tuesday, August 05, 2025",Tuesday,127,15 Year of the Cabbage,3,mensis Benedicti,
"Wednesday, August 06, 2025",Wednesday,128,15 Year of the Cabbage,4,mensis Benedicti,
"Thursday, August 07, 2025",Thursday,129,15 Year of the Cabbage,5,mensis Benedicti,
"Friday, August 08, 2025",Friday,130,15 Year of the Cabbage,6,mensis Benedicti,
"Saturday, August 09, 2025",Saturday,131,15 Year of the Cabbage,7,mensis Benedicti,
"Sunday, August 10, 2025",Sunday,132,15 Year of the Cabbage,8,mensis Benedicti,
"Monday, August 11, 2025",Monday,133,15 Year of the Cabbage,9,mensis Benedicti,
"Tuesday, August 12, 2025",Tuesday,134,15 Year of the Cabbage,10,mensis Benedicti,
"Wednesday, August 13, 2025",Wednesday,135,15 Year of the Cabbage,11,mensis Benedicti,
"Thursday, August 14, 2025",Thursday,136,15 Year of the Cabbage,12,mensis Benedicti,
"Friday, August 15, 2025",Friday,137,15 Year of the Cabbage,13,mensis Benedicti,
"Saturday, August 16, 2025",Saturday,138,15 Year of the Cabbage,14,mensis Benedicti,
"Sunday, August 17, 2025",Sunday,139,15 Year of the Cabbage,15,mensis Benedicti,
"Monday, August 18, 2025",Monday,140,15 Year of the Cabbage,16,mensis Benedicti,
"Tuesday, August 19, 2025",Tuesday,141,15 Year of the Cabbage,17,mensis Benedicti,
"Wednesday, August 20, 2025",Wednesday,142,15 Year of the Cabbage,18,mensis Benedicti,
"Thursday, August 21, 2025",Thursday,143,15 Year of the Cabbage,19,mensis Benedicti,
"Friday, August 22, 2025",Friday,144,15 Year of the Cabbage,20,mensis Benedicti,
"Saturday, August 23, 2025",Saturday,145,15 Year of the Cabbage,21,mensis Benedicti,
"Sunday, August 24, 2025",Sunday,146,15 Year of the Cabbage,22,mensis Benedicti,
"Monday, August 25, 2025",Monday,147,15 Year of the Cabbage,23,mensis Benedicti,
"Tuesday, August 26, 2025",Tuesday,148,15 Year of the Cabbage,24,mensis Benedicti,
"Wednesday, August 27, 2025",Wednesday,149,15 Year of the Cabbage,25,mensis Benedicti,
"Thursday, August 28, 2025",Thursday,150,15 Year of the Cabbage,26,mensis Benedicti,
"Friday, August 29, 2025",Friday,151,15 Year of the Cabbage,27,mensis Benedicti,
"Saturday, August 30, 2025",Saturday,152,15 Year of the Cabbage,28,mensis Benedicti,
"Sunday, August 31, 2025",Sunday,153,15 Year of the Cabbage,29,mensis Benedicti,
"Monday, September 01, 2025",Monday,154,15 Year of the Cabbage,30,mensis Benedicti,
"Tuesday, September 02, 2025",Tuesday,155,15 Year of the Cabbage,31,mensis Benedicti,
"Wednesday, September 03, 2025",Wednesday,156,15 Year of the Cabbage,32,mensis Benedicti,
"Thursday, September 04, 2025",Thursday,157,15 Year of the Cabbage,33,mensis Benedicti,
"Friday, September 05, 2025",Friday,158,15 Year of the Cabbage,34,mensis Benedicti,
"Saturday, September 06, 2025",Saturday,159,15 Year of the Cabbage,35,mensis Benedicti,
"Sunday, September 07, 2025",Sunday,160,15 Year of the Cabbage,36,mensis Benedicti,
"Monday, September 08, 2025",Monday,161,15 Year of the Cabbage,37,mensis Benedicti,
"Tuesday, September 09, 2025",Tuesday,162,15 Year of the Cabbage,38,mensis Benedicti,
"Wednesday, September 10, 2025",Wednesday,163,15 Year of the Cabbage,39,mensis Benedicti,Novena to St. Januarius
"Thursday, September 11, 2025",Thursday,164,15 Year of the Cabbage,40,mensis Benedicti,Novena to St. Januarius
"Friday, September 12, 2025",Friday,165,15 Year of the Cabbage,41,mensis Benedicti,Novena to St. Januarius
"Saturday, September 13, 2025",Saturday,166,15 Year of the Cabbage,42,mensis Benedicti,Novena to St. Januarius
"Sunday, September 14, 2025",Sunday,167,15 Year of the Cabbage,43,mensis Benedicti,Novena to St. Januarius
"Monday, September 15, 2025",Monday,168,15 Year of the Cabbage,1,mensis Petri,"Festival of Tilburian Vocations, Novena to St. Januarius"
"Tuesday, September 16, 2025",Tuesday,169,15 Year of the Cabbage,2,mensis Petri,Novena to St. Januarius
"Wednesday, September 17, 2025",Wednesday,170,15 Year of the Cabbage,3,mensis Petri,Novena to St. Januarius
"Thursday, September 18, 2025",Thursday,171,15 Year of the Cabbage,4,mensis Petri,Novena to St. Januarius
"Friday, September 19, 2025",Friday,172,15 Year of the Cabbage,5,mensis Petri,Feast of St. Januarius: Patron of Tilbury
"Saturday, September 20, 2025",Saturday,173,15 Year of the Cabbage,6,mensis Petri,Octave of St. Januarius
"Sunday, September 21, 2025",Sunday,174,15 Year of the Cabbage,7,mensis Petri,Octave of St. Januarius
"Monday, September 22, 2025",Monday,175,15 Year of the Cabbage,8,mensis Petri,Octave of St. Januarius
"Tuesday, September 23, 2025",Tuesday,176,15 Year of the Cabbage,9,mensis Petri,Octave of St. Januarius
"Wednesday, September 24, 2025",Wednesday,177,15 Year of the Cabbage,10,mensis Petri,Octave of St. Januarius
"Thursday, September 25, 2025",Thursday,178,15 Year of the Cabbage,11,mensis Petri,Octave of St. Januarius
"Friday, September 26, 2025",Friday,179,15 Year of the Cabbage,12,mensis Petri,Octave of St. Januarius
"Saturday, September 27, 2025",Saturday,180,15 Year of the Cabbage,13,mensis Petri,
"Sunday, September 28, 2025",Sunday,181,15 Year of the Cabbage,14,mensis Petri,
"Monday, September 29, 2025",Monday,182,15 Year of the Cabbage,15,mensis Petri,
"Tuesday, September 30, 2025",Tuesday,183,15 Year of the Cabbage,16,mensis Petri,
"Wednesday, October 01, 2025",Wednesday,184,15 Year of the Cabbage,17,mensis Petri,
"Thursday, October 02, 2025",Thursday,185,15 Year of the Cabbage,18,mensis Petri,
"Friday, October 03, 2025",Friday,186,15 Year of the Cabbage,19,mensis Petri,
"Saturday, October 04, 2025",Saturday,187,15 Year of the Cabbage,20,mensis Petri,
"Sunday, October 05, 2025",Sunday,188,15 Year of the Cabbage,21,mensis Petri,
"Monday, October 06, 2025",Monday,189,15 Year of the Cabbage,22,mensis Petri,
"Tuesday, October 07, 2025",Tuesday,190,15 Year of the Cabbage,23,mensis Petri,
"Wednesday, October 08, 2025",Wednesday,191,15 Year of the Cabbage,24,mensis Petri,
"Thursday, October 09, 2025",Thursday,192,15 Year of the Cabbage,25,mensis Petri,
"Friday, October 10, 2025",Friday,193,15 Year of the Cabbage,26,mensis Petri,
"Saturday, October 11, 2025",Saturday,194,15 Year of the Cabbage,27,mensis Petri,
"Sunday, October 12, 2025",Sunday,195,15 Year of the Cabbage,28,mensis Petri,
"Monday, October 13, 2025",Monday,196,15 Year of the Cabbage,29,mensis Petri,
"Tuesday, October 14, 2025",Tuesday,197,15 Year of the Cabbage,30,mensis Petri,
"Wednesday, October 15, 2025",Wednesday,198,15 Year of the Cabbage,31,mensis Petri,
"Thursday, October 16, 2025",Thursday,199,15 Year of the Cabbage,32,mensis Petri,
"Friday, October 17, 2025",Friday,200,15 Year of the Cabbage,33,mensis Petri,
"Saturday, October 18, 2025",Saturday,201,15 Year of the Cabbage,34,mensis Petri,
"Sunday, October 19, 2025",Sunday,202,15 Year of the Cabbage,35,mensis Petri,
"Monday, October 20, 2025",Monday,203,15 Year of the Cabbage,36,mensis Petri,
"Tuesday, October 21, 2025",Tuesday,204,15 Year of the Cabbage,37,mensis Petri,
"Wednesday, October 22, 2025",Wednesday,205,15 Year of the Cabbage,38,mensis Petri,
"Thursday, October 23, 2025",Thursday,206,15 Year of the Cabbage,39,mensis Petri,
"Friday, October 24, 2025",Friday,207,15 Year of the Cabbage,40,mensis Petri,
"Saturday, October 25, 2025",Saturday,208,15 Year of the Cabbage,41,mensis Petri,
"Sunday, October 26, 2025",Sunday,209,15 Year of the Cabbage,42,mensis Petri,
"Monday, October 27, 2025",Monday,210,15 Year of the Cabbage,43,mensis Petri,
"Tuesday, October 28, 2025",Tuesday,211,15 Year of the Cabbage,44,mensis Petri,
"Wednesday, October 29, 2025",Wednesday,212,15 Year of the Cabbage,45,mensis Petri,
"Thursday, October 30, 2025",Thursday,213,15 Year of the Cabbage,46,mensis Petri,
"Friday, October 31, 2025",Friday,214,15 Year of the Cabbage,47,mensis Petri,
"Saturday, November 01, 2025",Saturday,215,15 Year of the Cabbage,48,mensis Petri,
"Sunday, November 02, 2025",Sunday,216,15 Year of the Cabbage,49,mensis Petri,
"Monday, November 03, 2025",Monday,217,15 Year of the Cabbage,50,mensis Petri,
"Tuesday, November 04, 2025",Tuesday,218,15 Year of the Cabbage,51,mensis Petri,
"Wednesday, November 05, 2025",Wednesday,219,15 Year of the Cabbage,52,mensis Petri,
"Thursday, November 06, 2025",Thursday,220,15 Year of the Cabbage,53,mensis Petri,
"Friday, November 07, 2025",Friday,221,15 Year of the Cabbage,54,mensis Petri,
"Saturday, November 08, 2025",Saturday,222,15 Year of the Cabbage,55,mensis Petri,
"Sunday, November 09, 2025",Sunday,223,15 Year of the Cabbage,56,mensis Petri,
"Monday, November 10, 2025",Monday,224,15 Year of the Cabbage,57,mensis Petri,
"Tuesday, November 11, 2025",Tuesday,225,15 Year of the Cabbage,58,mensis Petri,
"Wednesday, November 12, 2025",Wednesday,226,15 Year of the Cabbage,59,mensis Petri,
"Thursday, November 13, 2025",Thursday,227,15 Year of the Cabbage,60,mensis Petri,
"Friday, November 14, 2025",Friday,228,15 Year of the Cabbage,61,mensis Petri,
"Saturday, November 15, 2025",Saturday,229,15 Year of the Cabbage,62,mensis Petri,
"Sunday, November 16, 2025",Sunday,230,15 Year of the Cabbage,63,mensis Petri,
"Monday, November 17, 2025",Monday,231,15 Year of the Cabbage,64,mensis Petri,
"Tuesday, November 18, 2025",Tuesday,232,15 Year of the Cabbage,65,mensis Petri,
"Wednesday, November 19, 2025",Wednesday,233,15 Year of the Cabbage,66,mensis Petri,
"Thursday, November 20, 2025",Thursday,234,15 Year of the Cabbage,67,mensis Petri,
"Friday, November 21, 2025",Friday,235,15 Year of the Cabbage,68,mensis Petri,
"Saturday, November 22, 2025",Saturday,236,15 Year of the Cabbage,69,mensis Petri,
"Sunday, November 23, 2025",Sunday,237,15 Year of the Cabbage,70,mensis Petri,
"Monday, November 24, 2025",Monday,238,15 Year of the Cabbage,71,mensis Petri,
"Tuesday, November 25, 2025",Tuesday,239,15 Year of the Cabbage,72,mensis Petri,
"Wednesday, November 26, 2025",Wednesday,240,15 Year of the Cabbage,73,mensis Petri,
"Thursday, November 27, 2025",Thursday,241,15 Year of the Cabbage,74,mensis Petri,
"Friday, November 28, 2025",Friday,242,15 Year of the Cabbage,75,mensis Petri,
"Saturday, November 29, 2025",Saturday,243,15 Year of the Cabbage,76,mensis Petri,
"Sunday, November 30, 2025",Sunday,244,15 Year of the Cabbage,77,mensis Petri,
"Monday, December 01, 2025",Monday,245,15 Year of the Cabbage,78,mensis Petri,
"Tuesday, December 02, 2025",Tuesday,246,15 Year of the Cabbage,79,mensis Petri,
"Wednesday, December 03, 2025",Wednesday,247,15 Year of the Cabbage,80,mensis Petri,
"Thursday, December 04, 2025",Thursday,248,15 Year of the Cabbage,81,mensis Petri,
"Friday, December 05, 2025",Friday,249,15 Year of the Cabbage,82,mensis Petri,
"Saturday, December 06, 2025",Saturday,250,15 Year of the Cabbage,83,mensis Petri,
"Sunday, December 07, 2025",Sunday,251,15 Year of the Cabbage,84,mensis Petri,
"Monday, December 08, 2025",Monday,252,15 Year of the Cabbage,85,mensis Petri,
"Tuesday, December 09, 2025",Tuesday,253,15 Year of the Cabbage,86,mensis Petri,
"Wednesday, December 10, 2025",Wednesday,254,15 Year of the Cabbage,87,mensis Petri,
"Thursday, December 11, 2025",Thursday,255,15 Year of the Cabbage,88,mensis Petri,
"Friday, December 12, 2025",Friday,256,15 Year of the Cabbage,89,mensis Petri,
"Saturday, December 13, 2025",Saturday,257,15 Year of the Cabbage,90,mensis Petri,
"Sunday, December 14, 2025",Sunday,258,15 Year of the Cabbage,91,mensis Petri,
"Monday, December 15, 2025",Monday,259,15 Year of the Cabbage,92,mensis Petri,
"Tuesday, December 16, 2025",Tuesday,260,15 Year of the Cabbage,93,mensis Petri,
"Wednesday, December 17, 2025",Wednesday,261,15 Year of the Cabbage,94,mensis Petri,
"Thursday, December 18, 2025",Thursday,262,15 Year of the Cabbage,95,mensis Petri,
"Friday, December 19, 2025",Friday,263,15 Year of the Cabbage,96,mensis Petri,
"Saturday, December 20, 2025",Saturday,264,15 Year of the Cabbage,97,mensis Petri,
"Sunday, December 21, 2025",Sunday,265,15 Year of the Cabbage,98,mensis Petri,
"Monday, December 22, 2025",Monday,266,15 Year of the Cabbage,99,mensis Petri,
"Tuesday, December 23, 2025",Tuesday,267,15 Year of the Cabbage,100,mensis Petri,
"Wednesday, December 24, 2025",Wednesday,268,15 Year of the Cabbage,101,mensis Petri,
"Thursday, December 25, 2025",Thursday,269,15 Year of the Cabbage,102,mensis Petri,Solemnity of the Nativity
"Friday, December 26, 2025",Friday,270,15 Year of the Cabbage,103,mensis Petri,Christmas Octave
"Saturday, December 27, 2025",Saturday,271,15 Year of the Cabbage,104,mensis Petri,Christmas Octave
"Sunday, December 28, 2025",Sunday,272,15 Year of the Cabbage,105,mensis Petri,Christmas Octave
"Monday, December 29, 2025",Monday,273,15 Year of the Cabbage,106,mensis Petri,Christmas Octave
"Tuesday, December 30, 2025",Tuesday,274,15 Year of the Cabbage,107,mensis Petri,Christmas Octave
"Wednesday, December 31, 2025",Wednesday,275,15 Year of the Cabbage,108,mensis Petri,Christmas Octave
"Thursday, January 01, 2026",Thursday,276,15 Year of the Cabbage,109,mensis Petri,Christmas Octave
"Friday, January 02, 2026",Friday,277,15 Year of the Cabbage,110,mensis Petri,
"Saturday, January 03, 2026",Saturday,278,15 Year of the Cabbage,111,mensis Petri,
"Sunday, January 04, 2026",Sunday,279,15 Year of the Cabbage,112,mensis Petri,
"Monday, January 05, 2026",Monday,280,15 Year of the Cabbage,113,mensis Petri,
"Tuesday, January 06, 2026",Tuesday,281,15 Year of the Cabbage,114,mensis Petri,
"Wednesday, January 07, 2026",Wednesday,282,15 Year of the Cabbage,115,mensis Petri,
"Thursday, January 08, 2026",Thursday,283,15 Year of the Cabbage,116,mensis Petri,
"Friday, January 09, 2026",Friday,284,15 Year of the Cabbage,117,mensis Petri,
"Saturday, January 10, 2026",Saturday,285,15 Year of the Cabbage,118,mensis Petri,
"Sunday, January 11, 2026",Sunday,286,15 Year of the Cabbage,119,mensis Petri,
"Monday, January 12, 2026",Monday,287,15 Year of the Cabbage,120,mensis Petri,
"Tuesday, January 13, 2026",Tuesday,288,15 Year of the Cabbage,121,mensis Petri,
"Wednesday, January 14, 2026",Wednesday,289,15 Year of the Cabbage,122,mensis Petri,
"Thursday, January 15, 2026",Thursday,290,15 Year of the Cabbage,123,mensis Petri,
"Friday, January 16, 2026",Friday,291,15 Year of the Cabbage,124,mensis Petri,
"Saturday, January 17, 2026",Saturday,292,15 Year of the Cabbage,125,mensis Petri,
"Sunday, January 18, 2026",Sunday,293,15 Year of the Cabbage,126,mensis Petri,
"Monday, January 19, 2026",Monday,294,15 Year of the Cabbage,127,mensis Petri,
"Tuesday, January 20, 2026",Tuesday,295,15 Year of the Cabbage,128,mensis Petri,
"Wednesday, January 21, 2026",Wednesday,296,15 Year of the Cabbage,1,mensis vagandi,Cleaning Day
"Thursday, January 22, 2026",Thursday,297,15 Year of the Cabbage,2,mensis vagandi,
"Friday, January 23, 2026",Friday,298,15 Year of the Cabbage,3,mensis vagandi,
"Saturday, January 24, 2026",Saturday,299,15 Year of the Cabbage,4,mensis vagandi,
"Sunday, January 25, 2026",Sunday,300,15 Year of the Cabbage,5,mensis vagandi,
"Monday, January 26, 2026",Monday,301,15 Year of the Cabbage,6,mensis vagandi,
"Tuesday, January 27, 2026",Tuesday,302,15 Year of the Cabbage,7,mensis vagandi,
"Wednesday, January 28, 2026",Wednesday,303,15 Year of the Cabbage,8,mensis vagandi,
"Thursday, January 29, 2026",Thursday,304,15 Year of the Cabbage,9,mensis vagandi,
"Friday, January 30, 2026",Friday,305,15 Year of the Cabbage,10,mensis vagandi,
"Saturday, January 31, 2026",Saturday,306,15 Year of the Cabbage,11,mensis vagandi,
"Sunday, February 01, 2026",Sunday,307,15 Year of the Cabbage,12,mensis vagandi,
"Monday, February 02, 2026",Monday,308,15 Year of the Cabbage,13,mensis vagandi,
